iter	Passed	Remaining
404	6662	9788
405	6678	9770
406	6693	9752
407	6710	9736
408	6725	9718
409	6741	9700
410	6758	9685
411	6778	9674
412	6793	9655
413	6809	9638
414	6825	9620
415	6840	9603
416	6856	9585
417	6872	9568
418	6888	9552
419	6903	9533
420	6918	9515
421	6937	9502
422	6953	9485
423	6969	9467
424	6984	9450
425	6999	9431
426	7015	9414
427	7031	9396
428	7050	9384
429	7067	9368
430	7083	9351
431	7104	9340
432	7120	9324
433	7138	9309
434	7157	9295
435	7176	9283
436	7195	9269
437	7211	9253
438	7226	9234
439	7242	9217
440	7258	9200
441	7274	9184
442	7292	9169
443	7309	9153
444	7324	9134
445	7342	9121
446	7359	9104
447	7376	9088
448	7395	9075
449	7412	9059
450	7429	9044
451	7447	9029
452	7464	9013
453	7481	8997
454	7499	8983
455	7518	8969
456	7536	8954
457	7551	8936
458	7568	8920
459	7582	8901
460	7600	8886
461	7616	8869
462	7632	8852
463	7648	8835
464	7663	8816
465	7678	8799
466	7694	8782
467	7710	8765
468	7728	8750
469	7745	8734
470	7760	8715
471	7776	8698
472	7793	8682
473	7808	8664
474	7824	8648
475	7840	8630
476	7857	8615
477	7874	8599
478	7889	8581
479	7905	8564
480	7921	8547
481	7937	8530
482	7953	8513
483	7969	8496
484	7985	8479
485	8001	8462
486	8015	8443
487	8031	8426
488	8047	8409
489	8063	8392
490	8079	8375
491	8095	8358
492	8111	8341
493	8130	8327
494	8155	8320
495	8176	8307
496	8193	8292
497	8210	8276
498	8226	8259
499	8243	8243
500	8259	8226
501	8275	8209
502	8291	8192
503	8308	8176
504	8324	8159
505	8340	8142
506	8356	8125
507	8372	8108
508	8387	8090
509	8402	8072
510	8417	8055
511	8434	8039
512	8452	8023
513	8468	8007
514	8484	7990
515	8500	7973
516	8516	7956
517	8532	7939
518	8547	7922
519	8564	7906
520	8582	7890
521	8598	7873
522	8614	7857
523	8630	7840
524	8646	7822
525	8662	7805
526	8678	7789
527	8693	7771
528	8709	7754
529	8725	7737
530	8741	7720
531	8756	7703
532	8772	7686
533	8790	7671
534	8806	7654
535	8822	7637
536	8837	7619
537	8852	7602
538	8867	7584
539	8883	7567
540	8902	7553
541	8917	7535
542	8932	7517
543	8947	7500
544	8963	7483
545	8981	7468
546	8999	7453
547	9015	7436
548	9029	7417
549	9044	7399
550	9060	7383
551	9078	7368
552	9094	7351
553	9109	7333
554	9125	7316
555	9141	7299
556	9156	7282
557	9173	7266
558	9191	7251
559	9208	7235
560	9226	7220
561	9242	7203
562	9256	7184
563	9270	7166
564	9285	7149
565	9302	7132
566	9317	7115
567	9333	7098
568	9349	7082
569	9365	7065
570	9383	7050
571	9399	7032
572	9414	7015
573	9430	6998
574	9445	6981
575	9461	6964
576	9476	6947
577	9493	6931
578	9511	6915
579	9528	6900
580	9543	6882
581	9561	6867
582	9575	6849
583	9590	6831
584	9607	6815
585	9621	6797
586	9636	6780
587	9651	6762
588	9666	6744
589	9679	6726
590	9696	6710
591	9710	6692
592	9725	6674
593	9741	6658
594	9756	6641
595	9772	6624
596	9793	6611
597	9810	6595
598	9829	6580
599	9847	6564
600	9864	6549
601	9879	6531
602	9896	6515
603	9913	6499
604	9931	6484
605	9948	6468
606	9963	6451
607	9978	6433
608	9993	6415
609	10007	6398
610	10023	6381
611	10037	6363
612	10052	6346
613	10065	6327
614	10079	6310
615	10094	6292
616	10108	6274
617	10123	6257
618	10138	6240
619	10154	6223
620	10174	6209
621	10191	6193
622	10207	6176
623	10222	6159
624	10235	6141
625	10250	6124
626	10266	6107
627	10282	6090
628	10296	6073
629	10311	6055
630	10326	6038
631	10342	6022
632	10359	6006
633	10382	5993
634	10406	5981
635	10423	5965
636	10440	5949
637	10457	5933
638	10471	5916
639	10488	5899
640	10504	5883
641	10520	5866
642	10537	5850
643	10557	5836
644	10575	5820
645	10593	5805
646	10611	5789
647	10627	5773
648	10643	5756
649	10659	5739
650	10675	5723
651	10691	5706
652	10705	5688
653	10720	5671
654	10735	5654
655	10749	5637
656	10765	5620
657	10780	5603
658	10795	5585
659	10809	5568
660	10824	5551
661	10838	5533
662	10852	5516
663	10867	5499
664	10882	5481
665	10897	5465
666	10912	5448
667	10927	5431
668	10943	5414
669	10958	5397
670	10974	5380
671	10990	5364
672	11005	5347
673	11021	5330
674	11036	5314
675	11054	5298
676	11071	5282
677	11090	5267
678	11107	5251
679	11123	5234
680	11139	5217
681	11154	5201
682	11171	5184
683	11187	5168
684	11202	5151
685	11218	5134
686	11232	5117
687	11248	5101
688	11264	5084
689	11280	5067
690	11295	5051
691	11311	5034
692	11326	5017
693	11340	5000
694	11356	4983
695	11370	4966
696	11386	4949
697	11401	4932
698	11415	4915
699	11430	4898
700	11445	4881
701	11460	4865
702	11476	4848
703	11492	4831
704	11506	4814
705	11521	4797
706	11536	4780
707	11550	4763
708	11565	4746
709	11579	4729
710	11594	4712
711	11611	4696
712	11626	4679
713	11640	4662
714	11655	4645
715	11671	4629
716	11685	4612
717	11701	4595
718	11715	4578
719	11729	4561
720	11744	4544
721	11759	4528
722	11775	4511
723	11792	4495
724	11809	4479
725	11823	4462
726	11839	4445
727	11853	4428
728	11869	4412
729	11885	4396
730	11900	4379
731	11915	4362
732	11929	4345
733	11945	4328
734	11959	4311
735	11974	4295
736	11989	4278
737	12005	4262
738	12020	4245
739	12035	4228
740	12051	4212
741	12066	4195
742	12081	4178
743	12096	4162
744	12111	4145
745	12126	4128
746	12140	4111
747	12156	4095
748	12171	4078
749	12186	4062
750	12203	4046
751	12218	4029
752	12233	4012
753	12247	3995
754	12263	3979
755	12277	3962
756	12292	3945
757	12306	3928
758	12320	3912
759	12334	3895
760	12349	3878
761	12363	3861
762	12378	3845
763	12392	3828
764	12407	3811
765	12421	3794
766	12436	3778
767	12451	3761
768	12465	3744
769	12479	3727
770	12493	3710
771	12510	3694
772	12525	3678
773	12540	3661
774	12556	3645
775	12569	3628
776	12584	3611
777	12599	3595
778	12615	3578
779	12629	3562
780	12645	3545
781	12659	3529
782	12673	3512
783	12687	3495
784	12701	3478
785	12715	3462
786	12730	3445
787	12746	3429
788	12761	3412
789	12775	3395
790	12788	3379
791	12804	3362
792	12818	3346
793	12833	3329
794	12848	3313
795	12863	3296
796	12878	3280
797	12893	3263
798	12908	3247
799	12923	3230
800	12937	3214
801	12953	3198
802	12969	3181
803	12986	3165
804	13004	3150
805	13023	3134
806	13042	3119
807	13059	3103
808	13076	3087
809	13092	3071
810	13109	3055
811	13124	3038
812	13141	3022
813	13157	3006
814	13172	2990
815	13188	2973
816	13203	2957
817	13217	2940
818	13232	2924
819	13246	2907
820	13262	2891
821	13278	2875
822	13292	2858
823	13308	2842
824	13323	2826
825	13337	2809
826	13351	2793
827	13367	2776
828	13381	2760
829	13397	2744
830	13413	2727
831	13427	2711
832	13441	2694
833	13456	2678
834	13471	2661
835	13485	2645
836	13499	2628
837	13514	2612
838	13529	2596
839	13544	2579
840	13559	2563
841	13575	2547
842	13589	2530
843	13604	2514
844	13617	2497
845	13632	2481
846	13646	2464
847	13662	2448
848	13677	2432
849	13691	2416
850	13705	2399
851	13721	2383
852	13736	2367
853	13753	2351
854	13771	2335
855	13787	2319
856	13804	2303
857	13820	2287
858	13836	2271
859	13851	2254
860	13867	2238
861	13882	2222
862	13898	2206
863	13915	2190
864	13929	2174
865	13943	2157
866	13957	2141
867	13971	2124
868	13985	2108
869	13999	2091
870	14014	2075
871	14028	2059
872	14042	2042
873	14056	2026
874	14070	2010
875	14084	1993
876	14099	1977
877	14113	1961
878	14132	1945
879	14150	1929
880	14165	1913
881	14181	1897
882	14198	1881
883	14214	1865
884	14229	1849
885	14246	1833
886	14261	1816
887	14277	1800
888	14295	1784
889	14312	1768
890	14329	1753
891	14345	1736
892	14360	1720
893	14376	1704
894	14391	1688
895	14406	1672
896	14421	1656
897	14437	1639
898	14452	1623
899	14466	1607
